Date,NR,WR,SR,ER,NER,TOTAL
01-Jan-14,35136,36914,31623,14794,1761,120228
02-Jan-14,36462,38019,32126,15083,1797,123487
03-Jan-14,37787,37776,32573,14592,1861,124589
04-Jan-14,36636,36784,31636,14804,1804,121664
05-Jan-14,35764,36419,29973,14118,1798,118072
06-Jan-14,36984,38515,32793,14518,1865,124675
07-Jan-14,37419,37986,32928,14724,1860,124917
08-Jan-14,37580,38358,33025,15199,1853,126015
09-Jan-14,36552,38203,33011,15223,1783,124772
10-Jan-14,37178,37704,33288,15412,1888,125470
11-Jan-14,37275,36899,32409,15154,1917,123654
12-Jan-14,35433,37022,30224,14915,1854,119448
13-Jan-14,36404,37696,31314,14805,1923,122142
14-Jan-14,35522,33904,30190,14688,1877,116181
15-Jan-14,37097,36187,29256,14993,1805,119338
16-Jan-14,38227,36917,30868,14986,1847,122845
17-Jan-14,36750,36629,31083,15362,1847,121671
18-Jan-14,35809,36970,32647,15154,1775,122355
19-Jan-14,34775,36066,30621,14529,1734,117725
20-Jan-14,36273,37489,32774,14971,1772,123279
21-Jan-14,34771,36625,32519,14749,1791,120455
22-Jan-14,33916,36224,32770,14637,1782,119329
23-Jan-14,32741,36164,32865,14607,1789,118166
24-Jan-14,34547,36388,33146,14757,1763,120601
25-Jan-14,34496,36276,33132,14804,1836,120544
26-Jan-14,33428,32798,30029,14110,1760,112125
27-Jan-14,34806,36580,32638,14655,1825,120504
28-Jan-14,36311,37168,32959,14849,1686,122973
29-Jan-14,36517,37315,33002,14828,1752,123414
30-Jan-14,35787,37331,32959,14476,1747,122300
31-Jan-14,36638,37179,33545,14817,1827,124006
01-Feb-14,36042,38783,32914,14473,1849,124061
02-Feb-14,34584,37748,32631,14314,1837,121113
03-Feb-14,33372,35951,30714,14131,1829,115997
04-Feb-14,35584,38089,32466,14673,1910,122722
05-Feb-14,36222,39054,32829,14411,1799,124315
06-Feb-14,36655,38929,33391,15377,1837,126189
07-Feb-14,36780,37026,33879,14904,1879,124467
08-Feb-14,35078,36512,34242,14576,1902,122310
09-Feb-14,35404,36017,33097,14247,1881,120646
10-Feb-14,33283,35042,30829,13753,1696,114603
11-Feb-14,35509,36761,33374,14795,1921,122360
12-Feb-14,35586,37763,33348,14511,1883,123091
13-Feb-14,35835,38637,32997,14861,1760,124090
14-Feb-14,35806,38785,33570,14532,1870,124563
15-Feb-14,34677,37489,34275,14696,1854,122991
16-Feb-14,35998,37860,33551,14773,1764,123946
17-Feb-14,33677,34343,31564,14657,1798,116039
18-Feb-14,35777,36428,33086,14896,1761,121948
19-Feb-14,35470,35802,33928,15353,1778,122331
20-Feb-14,35227,35192,33353,15309,1839,120920
21-Feb-14,34347,32765,33444,15508,1811,117875
22-Feb-14,36638,37179,33545,14817,1827,124006
23-Feb-14,33677,34343,31564,14657,1798,116039
24-Feb-14,35777,36428,33086,14896,1761,121948
25-Feb-14,35470,35802,33928,15353,1778,122331
26-Feb-14,35227,35192,33353,15309,1839,120920
27-Feb-14,34347,32765,33444,15508,1811,117875
28-Feb-14,31843,33047,32815,15252,1775,114732
01-Mar-14,31614,34968,33117,15050,1465,116214
02-Mar-14,31292,34431,30733,14605,1658,112719
03-Mar-14,32393,35277,32111,15161,1707,116649
04-Mar-14,33183,35354,32201,14298,1740,116776
05-Mar-14,33341,35356,33435,15231,1877,119240
06-Mar-14,33485,35581,33014,14342,1905,118327
07-Mar-14,33323,37018,32715,14948,1853,119857
08-Mar-14,33402,35827,32602,15129,1855,118815
09-Mar-14,31969,34269,30675,15132,1702,113747
10-Mar-14,31063,37117,32825,15268,1815,118088
11-Mar-14,30925,36502,34217,15492,1971,119107
12-Mar-14,31091,35727,33712,15502,1906,117938
13-Mar-14,32267,38023,33697,16084,1816,121887
14-Mar-14,33646,37551,33111,15899,1874,122081
15-Mar-14,32291,38315,32949,15242,1724,120521
16-Mar-14,32686,35526,31003,14790,1804,115809
17-Mar-14,30070,32079,32715,14412,1795,111071
18-Mar-14,31362,37589,34943,16105,1835,121834
19-Mar-14,31978,37306,34167,15961,1648,121060
20-Mar-14,33476,37528,32877,15813,1807,121501
21-Mar-14,32735,38397,34200,15902,1924,123158
22-Mar-14,33978,38805,34990,15091,1914,124778
23-Mar-14,31749,38592,34511,15035,1863,121750
24-Mar-14,30900,39533,36126,14956,1948,123463
25-Mar-14,31073,40084,35616,15941,1932,124647
26-Mar-14,32402,40236,35976,15829,1899,126342
27-Mar-14,31895,38590,35904,15965,1883,124237
28-Mar-14,29952,39628,35017,16242,1863,122702
29-Mar-14,31403,39999,34201,15806,1992,123401
30-Mar-14,29398,38777,33746,14959,1915,118795
31-Mar-14,31972,37858,34569,15969,1848,122216
01-Apr-14,33202,37992,34872,15585,1908,123559
02-Apr-14,33998,40210,35661,15893,1808,127570
03-Apr-14,35315,40848,35608,15968,1896,129635
04-Apr-14,35701,38855,34404,16050,1842,126852
05-Apr-14,35275,39616,33789,15778,1859,126317
06-Apr-14,34052,39566,33112,15644,1920,124294
07-Apr-14,33590,41004,34552,15811,1885,126842
08-Apr-14,35277,39206,34516,15307,1780,126086
09-Apr-14,35370,38484,33891,16083,1825,125653
10-Apr-14,34815,41419,34107,15602,1932,127875
