Date,NR,WR,SR,ER,NER,TOTAL
01-Jan-14,738,843,727,289,33,2630
02-Jan-14,766,871,739,287,32,2694
03-Jan-14,805,875,754,286,32,2753
04-Jan-14,791,883,747,307,33,2760
05-Jan-14,758,852,719,291,31,2651
06-Jan-14,780,863,746,294,34,2717
07-Jan-14,786,870,764,292,34,2747
08-Jan-14,810,886,768,293,33,2791
09-Jan-14,791,891,764,296,33,2775
10-Jan-14,805,884,766,300,33,2789
11-Jan-14,800,867,760,291,34,2751
12-Jan-14,785,860,742,286,34,2707
13-Jan-14,791,876,764,299,33,2763
14-Jan-14,799,835,730,299,33,2696
15-Jan-14,804,842,703,299,32,2679
16-Jan-14,807,861,723,298,33,2723
17-Jan-14,800,859,754,295,33,2741
18-Jan-14,716,841,764,294,33,2648
19-Jan-14,753,840,742,286,32,2653
20-Jan-14,768,865,759,290,32,2714
21-Jan-14,739,843,760,297,31,2669
22-Jan-14,719,821,766,297,31,2634
23-Jan-14,691,827,769,295,32,2613
24-Jan-14,744,810,779,298,32,2662
25-Jan-14,735,814,773,297,33,2652
26-Jan-14,717,772,733,288,33,2542
27-Jan-14,734,816,752,288,32,2622
28-Jan-14,767,840,768,300,32,2707
29-Jan-14,771,848,768,300,30,2716
30-Jan-14,764,860,760,303,31,2718
31-Jan-14,773,861,763,297,32,2725
01-Feb-14,771,864,768,298,28,2729
02-Feb-14,741,847,746,292,29,2656
03-Feb-14,750,876,761,300,30,2717
04-Feb-14,770,891,774,302,30,2767
05-Feb-14,763,943,767,293,29,2795
06-Feb-14,759,913,769,297,32,2771
07-Feb-14,741,909,770,296,33,2749
08-Feb-14,750,910,778,292,32,2761
09-Feb-14,740,883,747,286,31,2687
10-Feb-14,762,898,770,297,31,2758
11-Feb-14,783,899,782,297,32,2794
12-Feb-14,796,902,786,300,32,2816
13-Feb-14,802,892,798,297,32,2820
14-Feb-14,747,870,799,294,34,2743
15-Feb-14,742,852,791,282,34,2701
16-Feb-14,748,824,755,270,32,2628
17-Feb-14,767,857,773,279,29,2705
18-Feb-14,777,874,778,285,31,2745
19-Feb-14,784,883,779,287,30,2763
20-Feb-14,781,899,781,289,31,2780
21-Feb-14,769,893,789,296,33,2779
22-Feb-14,746,873,797,295,31,2742
23-Feb-14,736,840,767,288,32,2662
24-Feb-14,761,846,788,291,32,2718
25-Feb-14,766,831,787,294,32,2710
26-Feb-14,768,811,779,299,33,2691
27-Feb-14,745,785,777,300,32,2639
28-Feb-14,773,861,763,297,32,2725
01-Mar-14,688,775,761,290,28,2542
02-Mar-14,681,762,745,294,28,2511
03-Mar-14,708,801,750,291,29,2578
04-Mar-14,723,790,748,287,29,2577
05-Mar-14,729,811,768,285,31,2623
06-Mar-14,731,814,765,296,31,2638
07-Mar-14,741,821,765,299,32,2658
08-Mar-14,737,822,751,299,30,2640
09-Mar-14,741,790,727,289,30,2577
10-Mar-14,694,818,760,304,30,2605
11-Mar-14,665,830,776,310,32,2613
12-Mar-14,681,842,778,311,33,2645
13-Mar-14,725,846,792,315,32,2710
14-Mar-14,748,849,800,322,32,2751
15-Mar-14,756,872,803,322,30,2783
16-Mar-14,753,843,782,304,27,2709
17-Mar-14,698,763,794,301,28,2584
18-Mar-14,677,837,798,310,32,2653
19-Mar-14,751,894,798,319,27,2789
20-Mar-14,766,909,793,322,29,2818
21-Mar-14,773,887,795,323,31,2809
22-Mar-14,779,894,822,326,32,2853
23-Mar-14,752,889,818,311,30,2800
24-Mar-14,689,919,832,313,32,2786
25-Mar-14,713,921,840,315,32,2822
26-Mar-14,761,930,845,333,32,2902
27-Mar-14,743,938,834,343,32,2890
28-Mar-14,728,939,824,341,33,2865
29-Mar-14,731,941,822,334,33,2861
30-Mar-14,714,915,808,333,32,2802
31-Mar-14,741,928,823,335,33,2860
01-Apr-14,748,927,831,336,32,2874
02-Apr-14,751,928,828,339,31,2877
03-Apr-14,743,950,829,352,31,2905
04-Apr-14,764,951,825,343,28,2911
05-Apr-14,758,960,801,335,31,2885
06-Apr-14,738,938,787,331,33,2826
07-Apr-14,724,963,816,345,32,2880
08-Apr-14,748,962,812,351,29,2902
09-Apr-14,748,956,813,350,29,2896
10-Apr-14,749,963,784,345,32,2872
11-Apr-14,755,956,807,351,32,2900
12-Apr-14,757,946,800,349,31,2884
13-Apr-14,709,922,773,334,32,2769
14-Apr-14,736,941,785,339,32,2832
15-Apr-14,786,956,785,345,31,2903
16-Apr-14,762,960,798,347,31,2898
17-Apr-14,738,959,804,351,31,2884
18-Apr-14,663,934,787,339,32,2755
19-Apr-14,693,933,785,348,31,2791
20-Apr-14,699,890,751,338,33,2710
21-Apr-14,739,911,789,343,33,2816
22-Apr-14,760,937,809,353,35,2893
23-Apr-14,770,954,809,353,36,2921
24-Apr-14,789,956,782,357,34,2918
25-Apr-14,801,976,804,361,33,2975
26-Apr-14,809,981,800,367,31,2989
27-Apr-14,805,966,764,351,33,2919
28-Apr-14,827,994,788,348,29,2985
29-Apr-14,848,1001,794,351,31,3024
30-Apr-14,858,965,783,357,31,2994
01-May-14,875,934,753,340,31,2934
02-May-14,861,939,759,315,30,2904
03-May-14,846,961,760,288,30,2886
04-May-14,840,929,741,282,30,2821
05-May-14,833,960,746,290,30,2859
06-May-14,878,966,748,316,31,2940
07-May-14,901,961,697,322,26,2907
08-May-14,847,960,666,330,27,2830
09-May-14,860,949,655,331,29,2825
10-May-14,852,942,685,322,31,2832
11-May-14,827,911,688,317,31,2774
12-May-14,828,944,730,334,30,2866
13-May-14,740,941,761,344,31,2818
14-May-14,706,930,775,321,32,2763
15-May-14,786,941,780,331,32,2869
16-May-14,820,948,804,340,34,2946
17-May-14,821,928,782,349,34,2914
18-May-14,803,908,743,345,31,2830
19-May-14,825,933,750,356,32,2896
20-May-14,863,948,740,351,32,2934
21-May-14,883,948,754,359,33,2976
22-May-14,904,955,759,355,32,3006
23-May-14,891,936,774,352,32,2985
24-May-14,868,932,760,358,31,2948
25-May-14,823,903,715,325,30,2796
26-May-14,856,938,695,306,31,2826
27-May-14,911,939,725,291,32,2898
28-May-14,933,945,718,292,32,2920
29-May-14,935,947,726,329,32,2969
30-May-14,874,952,748,350,34,2958
31-May-14,886,950,754,315,34,2939
01-Jun-14,843,912,731,314,34,2834
02-Jun-14,885,932,744,321,34,2917
03-Jun-14,927,926,665,337,35,2890
04-Jun-14,946,952,734,343,35,3011
05-Jun-14,976,945,741,342,36,3040
06-Jun-14,975,956,744,358,36,3069
07-Jun-14,1012,958,740,350,36,3095
08-Jun-14,998,943,716,334,37,3028
09-Jun-14,1007,961,713,338,35,3055
10-Jun-14,1026,954,724,338,35,3077
11-Jun-14,1029,940,750,346,36,3102
12-Jun-14,956,920,756,355,36,3023
13-Jun-14,910,929,748,348,37,2971
14-Jun-14,940,915,758,339,37,2990
15-Jun-14,964,883,724,336,35,2941
16-Jun-14,1039,904,755,343,37,3077
17-Jun-14,1050,908,772,347,36,3113
18-Jun-14,1041,900,761,341,36,3078
19-Jun-14,1052,907,768,331,36,3094
20-Jun-14,1068,897,773,316,36,3090
21-Jun-14,1044,901,773,306,35,3058
22-Jun-14,1002,881,738,312,32,2965
23-Jun-14,1008,916,765,337,33,3058
24-Jun-14,1013,942,779,333,34,3101
25-Jun-14,1013,953,785,334,35,3120
26-Jun-14,1017,944,781,330,36,3109
27-Jun-14,1032,929,782,324,38,3105
28-Jun-14,1051,938,765,326,38,3119
29-Jun-14,1018,932,752,321,38,3060
30-Jun-14,1037,971,756,314,37,3115
01-Jul-14,1010,980,769,304,39,3102
02-Jul-14,1003,986,785,316,40,3131
03-Jul-14,993,948,785,317,37,3080
04-Jul-14,1006,955,778,312,37,3087
05-Jul-14,1022,956,753,311,35,3078
06-Jul-14,1007,925,725,320,35,3012
07-Jul-14,1031,941,742,317,35,3066
08-Jul-14,1063,939,739,339,38,3117
09-Jul-14,1084,919,737,328,39,3106
10-Jul-14,1071,914,717,343,40,3085
11-Jul-14,1096,887,707,336,38,3064
12-Jul-14,1072,870,709,344,38,3032
13-Jul-14,1048,860,682,341,38,2968
14-Jul-14,1050,874,715,347,38,3025
15-Jul-14,1059,850,726,347,38,3019
16-Jul-14,1028,805,730,340,40,2943
17-Jul-14,1006,810,757,343,39,2954
18-Jul-14,914,809,768,340,38,2869
19-Jul-14,948,791,748,338,37,2861
20-Jul-14,948,774,726,337,37,2822
21-Jul-14,948,774,726,337,37,2822
22-Jul-14,1002,802,750,320,36,2910
23-Jul-14,1024,776,755,317,35,2906
24-Jul-14,1004,754,748,340,39,2885
25-Jul-14,1002,749,763,342,39,2895
26-Jul-14,1008,771,765,342,34,2919
27-Jul-14,1023,779,762,340,37,2942
28-Jul-14,1006,775,725,334,38,2878
29-Jul-14,986,789,738,342,38,2892
30-Jul-14,975,773,740,345,38,2870
31-Jul-14,995,764,747,350,37,2893
01-Aug-14,1000,776,751,343,39,2909
02-Aug-14,1005,762,742,353,39,2921
03-Aug-14,989,769,706,333,38,2835
04-Aug-14,993,786,744,320,38,2881
05-Aug-14,953,769,758,315,39,2833
06-Aug-14,973,766,767,337,37,2880
07-Aug-14,957,785,783,347,38,2909
08-Aug-14,966,795,779,339,38,2917
09-Aug-14,956,801,758,342,39,2896
10-Aug-14,915,762,728,323,38,2765
