Date,NR,WR,SR,ER,NER,TOTAL
01-Jan-16,38928,40880,30369,16562,2163,128902
02-Jan-16,38926,42764,30985,16702,2224,131601
03-Jan-16,37735,40733,30432,16538,2211,127649
04-Jan-16,39531,42656,32714,16418,2215,133534
05-Jan-16,39832,43172,31921,16727,2270,133922
06-Jan-16,40556,42886,33078,16836,2242,135598
07-Jan-16,40837,42831,33721,15741,2281,135411
08-Jan-16,39268,42552,33758,15906,2271,133754
09-Jan-16,39501,42236,33530,16650,1990,133907
10-Jan-16,38194,40695,31209,16605,2208,128912
11-Jan-16,40086,42372,34105,16649,2285,135497
12-Jan-16,40854,42867,34301,16659,2298,136980
13-Jan-16,38086,42957,34151,16712,2279,134186
14-Jan-16,38122,38126,32576,16864,2272,127960
15-Jan-16,38150,39819,29378,16856,2231,126434
16-Jan-16,38215,40834,30161,15785,2299,127294
17-Jan-16,37637,39208,29337,16125,2228,124536
18-Jan-16,41293,40193,32766,16749,2268,133269
19-Jan-16,39482,39533,33150,15449,2253,129867
20-Jan-16,40562,40443,33435,15919,2274,132633
21-Jan-16,41160,40077,33896,15697,2300,133130
22-Jan-16,42109,40263,32856,16185,2273,133686
23-Jan-16,40197,40733,33549,16448,2292,133219
24-Jan-16,39041,38910,31524,16028,2264,127767
25-Jan-16,39932,40526,34549,16245,2178,133430
26-Jan-16,36802,37046,31689,16589,2264,124389
27-Jan-16,39585,41325,34911,17219,2274,135314
28-Jan-16,40355,41575,34684,17124,2296,136033
29-Jan-16,39226,41840,34724,16501,2297,134588
30-Jan-16,39158,41612,34029,16608,2253,133660
31-Jan-16,36691,39684,31484,16216,2234,126309
01-Feb-16,38215,41791,34702,16991,2304,134003
02-Feb-16,38099,41662,35125,17265,2302,134453
03-Feb-16,39321,41771,34976,17070,2305,135444
04-Feb-16,39842,41524,35547,16807,2305,136025
05-Feb-16,39002,41189,35061,16359,2300,133911
06-Feb-16,38192,41041,34892,16471,2239,132835
07-Feb-16,35741,39204,33038,16045,2224,126252
08-Feb-16,37730,41369,35174,16750,2278,133301
09-Feb-16,39657,42317,34766,16988,2255,135983
10-Feb-16,39657,41967,35406,17235,2298,136563
11-Feb-16,38810,41612,35631,16349,2264,134666
12-Feb-16,38287,40832,35492,16576,2254,133441
13-Feb-16,37784,41349,35053,16191,2326,132703
14-Feb-16,36006,39299,32667,15862,2259,126093
15-Feb-16,37908,41157,35338,16252,2262,132918
16-Feb-16,38154,41610,35351,16268,2249,133632
17-Feb-16,38941,42288,35405,17241,2249,136124
18-Feb-16,37602,41953,35504,17499,2242,134800
19-Feb-16,37628,41676,35639,17194,2224,134361
20-Feb-16,36191,42020,35573,16903,2257,132944
21-Feb-16,33269,39872,34057,16843,2143,126184
22-Feb-16,35406,41506,36756,16893,2152,132713
23-Feb-16,36447,42246,36126,16825,2216,133860
24-Feb-16,36976,41667,36173,16877,2098,133791
25-Feb-16,38391,41541,36259,17553,2111,135855
26-Feb-16,38180,40641,35636,16275,2178,132910
27-Feb-16,38771,41720,34597,17164,2170,134422
28-Feb-16,36073,40616,33378,17297,2127,129491
29-Feb-16,37803,40810,36382,17548,2204,134747
01-Mar-16,38377,42154,36737,17712,2202,137182
02-Mar-16,38699,42454,36260,17899,2210,137522
03-Mar-16,38456,42535,36745,17996,2243,137975
04-Mar-16,37042,41556,36588,17781,2257,135224
05-Mar-16,33398,41330,36473,17984,2315,131500
06-Mar-16,33143,39680,33896,17398,2214,126331
07-Mar-16,33986,39271,36316,17481,2234,129288
08-Mar-16,35595,40641,36586,17108,2170,132100
09-Mar-16,36155,42815,37270,17289,2170,135699
10-Mar-16,36012,42865,36355,17779,2252,135263
11-Mar-16,33917,42919,36437,17871,2301,133445
12-Mar-16,31265,39772,35864,18138,2236,127275
